name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
600,line,AC,ELDE3-,JOHN3-,0.1229,0.4314,4.832,149.0,2.987534626038781e-06,8.511080332409972e-07,380.0
601,line,AC,ELDE3-,NEIL1-,0.1523,0.8319,0.5267,229.0,5.7610803324099724e-06,1.0547091412742382e-06,380.0
602,line,AC,ELVA2Q,GRNA4C,0.1155,1.2673,38.8356,2210.0,8.776315789473684e-06,7.998614958448754e-07,380.0
603,line,AC,ELVA2Q,MOFF3A,0.0414,0.4544,13.9258,2210.0,3.146814404432133e-06,2.8670360110803326e-07,380.0
604,line,AC,ELVA2Q,STHA3-,0.085,0.9204,29.0717,2210.0,6.373961218836565e-06,5.886426592797784e-07,380.0
605,line,AC,ESST1-,PART3-,0.137,0.641,9.143,210.0,4.439058171745152e-06,9.487534626038781e-07,380.0
606,line,AC,ESST1-,WIYH1-,0.0711,0.3255,5.0111,233.0,2.25415512465374e-06,4.92382271468144e-07,380.0
607,line,AC,ESST1Q,PART3-,0.136,0.635,9.062,203.0,4.397506925207756e-06,9.418282548476455e-07,380.0
608,line,AC,ESST1Q,WIYH1-,0.178,0.334,7.691,203.0,2.3130193905817176e-06,1.2326869806094182e-06,380.0
609,line,AC,EWEH3-,GRNA1-,1.1828,3.4623,0.9844,131.0,2.3977146814404432e-05,8.191135734072023e-06,380.0
610,line,AC,FALL3A,SMEA1-,0.0414,0.6133,18.3526,2470.0,4.247229916897506e-06,2.8670360110803326e-07,380.0
611,line,AC,FINN3-,PART3-,0.0563,0.1582,4.0035,171.0,1.0955678670360111e-06,3.898891966759003e-07,380.0
612,line,AC,FINN3-,PART3-,0.057,0.16,4.0491,171.0,1.10803324099723e-06,3.947368421052632e-07,380.0
613,line,AC,GALA3-,HAWI1B,1.211,2.684,7.57,132.0,1.8587257617728535e-05,8.386426592797785e-06,380.0
614,line,AC,GARB1Q,HELE3-,1.3875,3.4126,0.7803,132.0,2.3632963988919668e-05,9.608725761772852e-06,380.0
615,line,AC,GARB1R,STLE3S,2.4383,5.997,1.3713,132.0,4.1530470914127426e-05,1.688573407202216e-05,380.0
616,line,AC,GARB1S,GARE1S,0.4558,1.1211,0.2564,132.0,7.763850415512465e-06,3.1565096952908587e-06,380.0
617,line,AC,GARB1T,GARE1T,0.4586,1.1279,0.2579,132.0,7.810941828254847e-06,3.1759002770083102e-06,380.0
618,line,AC,GARE1S,WHTL3-,0.2125,0.3513,0.0919,100.0,2.432825484764543e-06,1.471606648199446e-06,380.0
619,line,AC,GARE1S,WIYH1-,3.1938,7.8537,2.4208,109.0,5.438850415512465e-05,2.2117728531855955e-05,380.0
620,line,AC,GARE1T,WHTL3-,0.2112,0.3492,0.0913,100.0,2.4182825484764543e-06,1.4626038781163434e-06,380.0
621,line,AC,GARE1T,WIYH1-,3.1552,7.7595,2.0813,109.0,5.373614958448753e-05,2.1850415512465373e-05,380.0
622,line,AC,GLGL3-,SAKN1-,0.2541,0.5842,11.0847,166.0,4.045706371191136e-06,1.7596952908587257e-06,380.0
623,line,AC,GLGL3-,SNQR3-,0.6364,2.0111,0.2699,30.0,1.3927285318559556e-05,4.407202216066481e-06,380.0
624,line,AC,GLGL3-,WHLL3-,0.332,1.752,0.1408,30.0,1.2132963988919668e-05,2.2991689750692523e-06,380.0
625,line,AC,GLLE5-,KEOO5-,0.6969,1.6787,0.405,132.0,1.1625346260387812e-05,4.826177285318559e-06,380.0
626,line,AC,GLLE5-,NETS3-,2.7434,7.134,1.4605,125.0,4.940443213296399e-05,1.8998614958448754e-05,380.0
627,line,AC,GLLE5-,NETS3-,2.7434,7.134,1.4605,125.0,4.940443213296399e-05,1.8998614958448754e-05,380.0
628,line,AC,GLLE5-,TONG1R,3.39,7.678,1.662,132.0,5.317174515235457e-05,2.3476454293628808e-05,380.0
629,line,AC,GLLU3-,NETS3-,2.0091,5.2246,1.0696,49.0,3.618144044321329e-05,1.3913434903047091e-05,380.0
630,line,AC,GLLU3-,NETS3-,2.0091,5.2246,1.0696,57.0,3.618144044321329e-05,1.3913434903047091e-05,380.0
631,line,AC,GLNI3-,MOSM3Q,0.0651,0.2344,0.3797,265.0,1.6232686980609418e-06,4.5083102493074794e-07,380.0
632,line,AC,GLNI3-,MOSM3R,0.0654,0.2362,0.4421,265.0,1.6357340720221607e-06,4.529085872576177e-07,380.0
633,line,AC,GLNI3-,REDH3-,0.9555,2.3056,0.552,161.0,1.5966759002770085e-05,6.617036011080332e-06,380.0
634,line,AC,GLNI3-,WFIE3-,0.5359,1.6524,0.3546,332.0,1.1443213296398893e-05,3.711218836565097e-06,380.0
635,line,AC,GLRB2-,GLRO3A,0.0664,0.6181,3.956,955.0,4.2804709141274235e-06,4.5983379501385043e-07,380.0
636,line,AC,GLRO3A,WFIE3-,0.0547,0.5102,3.2488,955.0,3.5332409972299168e-06,3.7880886426592795e-07,380.0
637,line,AC,GORG3-,TELR3-,0.395,0.271,6.4,80.0,1.8767313019390583e-06,2.7354570637119114e-06,380.0
638,line,AC,GORG3-,TELR3-,0.395,0.271,6.4,80.0,1.8767313019390583e-06,2.7354570637119114e-06,380.0
639,line,AC,GOVA3-,HAGR3-,0.2097,0.252,6.0812,70.0,1.7451523545706372e-06,1.4522160664819945e-06,380.0
640,line,AC,GOVA3-,PAIS1Q,0.2635,1.0894,8.2673,125.0,7.544321329639889e-06,1.8247922437673132e-06,380.0
641,line,AC,GOVA3-,HAGR3-,0.187,0.225,3.587,69.0,1.5581717451523546e-06,1.2950138504155124e-06,380.0
